query,refined_query
"blue t-shirt men large","large blue t-shirt for men"
"running shoes women size 8","women's running shoes, size 8"
"black leather jacket","black jacket made of leather"
"iphone 13 pro max 128gb","iPhone 13 Pro Max 128GB"
"red dress summer","summer red dress"
"gaming laptop 16gb ram","gaming laptop with 16GB RAM"
"nike air max shoes size 10","Nike Air Max shoes, size 10"
"leather wallet brown","brown leather wallet"
"laptop charger dell","Dell laptop charger"
"watch for men stainless steel","stainless steel watch for men"
"headphones wireless over ear","wireless over-ear headphones"
"men's hoodie hoodie","men's hoodie"
"blue jeans men slim fit","men's blue slim-fit jeans"
"smartphone case iphone 12","iPhone 12 smartphone case"
"black boots men","men's black boots"
"leather bag women","women's leather bag"
"polo shirt men medium","men's medium polo shirt"
"women's sneakers white","white sneakers for women"
"gaming monitor 144hz","144Hz gaming monitor"
"samsung galaxy s21 256gb","Samsung Galaxy S21, 256GB"
"coffee maker stainless steel","stainless steel coffee maker"
"wireless mouse logitech","Logitech wireless mouse"
"digital camera canon","Canon digital camera"
"winter coat women","women's winter coat"
"graphic t-shirt men","men's graphic t-shirt"
"headphones over ear sony","Sony over-ear headphones"
"tablet samsung galaxy","Samsung Galaxy tablet"
"stylish boots women","women's stylish boots"
"electric toothbrush oral-b","Oral-B electric toothbrush"
"smart watch apple","Apple smart watch"
"home theater system","home theater system"
"baby stroller lightweight","lightweight baby stroller"
"fitness tracker garmin","Garmin fitness tracker"
"recliner chair leather","leather recliner chair"
"electric kettle black","black electric kettle"
"phone case samsung galaxy s20","Samsung Galaxy S20 phone case"
"workout shoes women","women's workout shoes"
"men's leather wallet","men's leather wallet"
"smart speaker amazon echo","Amazon Echo smart speaker"
"cordless vacuum cleaner","cordless vacuum cleaner"
"men's formal shoes","formal shoes for men"
"necklace silver women","women's silver necklace"
"power bank 20000mah","20000mAh power bank"
"wrist watch gold men","gold men's wrist watch"
"winter boots women","women's winter boots"
"fitness mat yoga","yoga fitness mat"
"playstation 5 console","PlayStation 5 console"
"laptop sleeve 13 inch","13-inch laptop sleeve"
"wireless earbuds apple","Apple wireless earbuds"
"smartphone samsung a52","Samsung A52 smartphone"
"travel bag men","men's travel bag"
"vacuum cleaner dyson","Dyson vacuum cleaner"
"personal blender","personal blender"
"portable speaker bose","Bose portable speaker"
"led tv 55 inch","55-inch LED TV"
"tv stand wood","wooden TV stand"
"coffee table glass","glass coffee table"
"office chair ergonomic","ergonomic office chair"
"backpack women","women's backpack"
"running watch garmin","Garmin running watch"
"swimming goggles","swimming goggles"
"electric grill","electric grill"
"bluetooth speaker portable","portable bluetooth speaker"
"wall clock modern","modern wall clock"
"air purifier hepa","HEPA air purifier"
"smart thermostat","smart thermostat"
"stylish sunglasses","stylish sunglasses"
"camera lens nikon","Nikon camera lens"
"bathrobe cotton","cotton bathrobe"
"gas stove stainless steel","stainless steel gas stove"
"multi-cooker","multi-cooker"
"crockpot slow cooker","Crockpot slow cooker"
